No,sentence,info__snippets,info__target,info_sentiment_score,info_aspects,preprocessed_sentence,numerical_info,encoded_values,sentiment_scores_for_numerical_encoded_values,trend,embedded_aspect,predicted_sentiment_probability_after_attention_mechanism
477.0,"Centrica extends gas deals with Gazprom, Statoil",['extends gas deals'],Gazprom,0.199,['Corporate/Sales/Deal'],centrica extend gas deal gazprom statoil,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,extend Gazprom,[0.38496608 0.32478914 0.29024482]
,,['extends gas deals'],Statoil,0.239,['Corporate/Sales/Deal'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Statoil,[0.2746824  0.3116568  0.41366082]
480.0,"Aberdeen AM posts H1 outflows, says conditions to remain challenging",['says conditions to remain challenging'],Aberdeen AM,-0.364,['Market/Conditions'],aberdeen post h1 outflow say condition remain challenge,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Aberdeen AM,[0.33328736 0.34011975 0.3265929 ]
492.0,Severn Trent share price jumps as Canadian investor renews pursuit of utility,['share price jumps'],Severn Trent,0.433,['Stock/Price Action'],severn trent share price jump canadian investor renew pursuit utility,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Severn Trent,[0.2588752  0.36422324 0.37690163]
495.0,New Morrisons duo get former boss's support to diffuse investor tension,['diffuse investor tension'],Morrisons,0.143,['Corporate/Risks'],new morrison duo boss support diffuse investor tension,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Morrisons,[0.32928115 0.32134855 0.34937033]
499.0,S&P downgrades Barclays and RBS on government bailout fears,['downgrades Barclays and RBS'],RBS,-0.53,['Stock/Coverage/AnalystRatings/downgrade'],s&p downgrade barclay rbs government bailout fear,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,RBS,[0.31164792 0.3528162  0.33553585]
502.0,Irish housebuilder Cairn Homes plans London listing,['London listing'],Cairn Homes,0.189,['Stock/IPO'],irish housebuilder cairn home plan london list,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Cairn Homes,[0.27411282 0.30709493 0.41879234]
507.0,Arm slammed by handset sales outlook,['sales outlook'],Arm,-0.41,['Corporate/Sales'],arm slam handset sale outlook,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Arm,[0.41601822 0.30858356 0.2753982 ]
511.0,CompaniesLSE adds ex-SEC head Schapiro to board,['adds ex-SEC head Schapiro to board'],LSE,0.076,['Corporate/Appointment'],companieslse add ex sec head schapiro board,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,LSE,[0.25315803 0.4307106  0.3161313 ]
512.0,Sales boost for new Morrisons chief David Potts as Tesco turnaround stalls,['Sales boost'],Tesco,-0.41,['Corporate/Sales/Sales'],sale boost new morrison chief david potts tesco turnaround stall,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,boost Tesco,[0.35489213 0.29598063 0.34912723]
516.0,FTSE 100 flat; Standard Chartered leads risers,['flat; Standard Chartered leads risers'],Standard Chartered,0.589,['Stock/Price Action'],ftse 100 flat standard chartered lead riser,"[{'value': '100', 'type': 'cardinal', 'aspect': 'riser', 'dependency_type': 'nummod'}]","tensor([[-3.5877,  6.0125, -2.1140]], grad_fn=<CatBackward0>)",[[-3.587666   6.012506  -2.1139667]],,Standard Chartered,[0.31111786 0.2774543  0.41142783]
517.0,CompaniesHoward Davies appointment as RBS director delayed,['appointment as RBS director delayed'],RBS,-0.025,['Corporate/Appointment'],companieshoward davy appointment rbs director delay,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,RBS,[0.2810109  0.3342462  0.38474286]
519.0,Keith Skeoch to step up as David Nish quits as chief executive of Standard Life,['David Nish quits as chief executive'],Standard Life,-0.09,['Corporate/Appointment'],keith skeoch step david nish quit chief executive standard life,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Standard Life,[0.34048086 0.34404695 0.31547213]
520.0,Dixons Carphone profit boost on strong sales,['profit boost on strong sales'],Dixons Carphone,0.478,['Corporate/Sales'],dixon carphone profit boost strong sale,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,boost Dixons Carphone,[0.35813692 0.3119328  0.32993028]
521.0,"FTSE rallies off three-month low, boosted by StanChart, Sainsbury",['rallies off three-month low'],Sainsbury,0.334,['Stock/Price Action'],ftse rally three month low boost stanchart sainsbury,"[{'value': 'three', 'type': 'cardinal', 'aspect': 'month', 'dependency_type': 'nummod'}]","tensor([[-0.0235,  0.0343, -0.1277]], grad_fn=<CatBackward0>)",[[-0.02353548  0.03430881 -0.12772216]],increase,rally Sainsbury,[0.27741253 0.40474018 0.3178473 ]
,,['rallies off three-month low'],StanChart,0.465,['Market/Market/Market Outlook'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,StanChart,[0.35591987 0.4001732  0.24390699]
530.0,"Royal Mail, Johnson Matthey lead FTSE lower",['lead FTSE lower'],Royal Mail,-0.438,['Market/Market/Market Trend'],royal mail johnson matthey lead ftse lower,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Royal Mail,[0.32548466 0.29821143 0.37630394]
539.0,Sainsbury sales slip again as price pressures take a toll,['pressures take a toll'],Sainsbury,-0.303,['Stock/Price Action'],sainsbury sale slip price pressure toll,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Sainsbury,[0.36074588 0.35209745 0.28715667]
540.0,Sophos aims to raise $100m in London IPO,['raise $100m in London IPO'],Sophos,0.214,['Stock/IPO'],sophos aim raise $ 100 m london ipo,"[{'value': '100', 'type': 'cardinal', 'aspect': 'raise', 'dependency_type': None}]","tensor([[-3.5877,  6.0125, -2.1140]], grad_fn=<CatBackward0>)",[[-3.587666   6.012506  -2.1139667]],,Sophos,[0.30521142 0.26911288 0.4256757 ]
541.0,UPDATE 3-Stifel to buy former Lehman brokerage from Barclays,['Stifel to buy former Lehman brokerage'],Lehman,0.164,['Corporate/M&A/Proposed Merger'],update 3 stifel buy lehman brokerage barclay,"[{'value': '3', 'type': 'cardinal', 'aspect': 'stifel', 'dependency_type': 'nummod'}]","tensor([[-0.0235,  0.0343, -0.1277]], grad_fn=<CatBackward0>)",[[-0.02353548  0.03430881 -0.12772216]],,Lehman,[0.22192515 0.44370544 0.33436933]
545.0,Borealis Infrastructure putting together new Severn Trent bid,['putting together new Severn Trent bid'],Severn Trent,0.214,['Corporate/M&A/Proposed Merger'],borealis infrastructure put new severn trent bid,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Severn Trent,[0.36582816 0.30562416 0.3285477 ]
546.0,"FTSE falls to 3-month low on Greek debt concerns, easyJet skids",['Greek debt concerns'],easyjet,-0.414,['Corporate/Risks'],ftse fall 3 month low greek debt concern easyjet skid,"[{'value': '3', 'type': 'cardinal', 'aspect': 'month', 'dependency_type': 'nummod'}]","tensor([[-0.0235,  0.0343, -0.1277]], grad_fn=<CatBackward0>)",[[-0.02353548  0.03430881 -0.12772216]],decrease,fall easyjet,[0.32699385 0.289244   0.3837622 ]
547.0,Johnson Matthey share price slumps as company posts full-year results,['share price slumps'],Johnson Matthey,-0.626,['Stock/Price Action'],johnson matthey share price slump company post year result,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],decrease,slump Johnson Matthey,[0.3808125  0.30963513 0.30955228]
548.0,UPDATE: Barclays Expects Gain After Settling With Lehman Bros Trustee,['After Settling With Lehman Bros Trustee'],Barclays,0.199,['Corporate/Legal'],update barclay expect gain settle lehman bros trustee,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,gain Barclays,[0.31675214 0.2890296  0.3942183 ]
,,['Expects Gain'],Lehman,0.239,['Corporate/Legal/Settlement'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Lehman,[0.31953588 0.34777978 0.33268443]
552.0,Petrofac books further Â£30m cost for Shetland gas terminal delays,['books further Â£30m cost for Shetland gas terminal delays'],Petrofac,-0.343,['Corporate/Risks'],petrofac book â£30 m cost shetland gas terminal delay,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Petrofac,[0.35463274 0.27681085 0.36855638]
553.0,Petrofac share price rises despite Â£30m costs on North Sea project,['share price rise'],Petrofac,0.09,['Stock/Price Action'],petrofac share price rise despite â£30 m cost north sea project,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,rise Petrofac,[0.340769   0.36417636 0.29505467]
554.0,Whitbread boss Andy Harrison defends sales fall as 'just a blip',['defends sales fall as 'just a blip''],Whitbread,-0.1,['Corporate/Sales'],whitbread boss andy harrison defend sale fall blip,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],decrease,fall Whitbread,[0.37914404 0.33990932 0.28094664]
555.0,Barclays share price subdued as bank faces fresh forex probe,['share price subdued'],Barclays,-0.373,['Stock/Price Action'],barclay share price subdue bank face fresh forex probe,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Barclays,[0.33337054 0.2961962  0.37043327]
556.0,CompaniesActelion shares hit record on Shire takeover talk,['Shire takeover talk'],Actelion,0.721,['Corporate/Rumors'],companiesactelion share hit record shire takeover talk,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Actelion,[0.33077613 0.34565958 0.32356426]
,,['Shire takeover talk'],Shire,0.345,['Corporate/Rumors/Rumors'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Shire,[0.2962046  0.38065955 0.3231358 ]
563.0,LSE gets Hong Kong regulatory nod to HK firms to become LSE members,['LSE gets Hong Kong regulatory nod'],LSE,0.247,['Corporate/Regulatory'],lse get hong kong regulatory nod hk firm lse member,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,LSE,[0.36129424 0.35210237 0.2866034 ]
573.0,Diageo Shares Surge on Report of Possible Takeover by Lemann,['Diageo Shares Surge'],Lemann,0.415,['Stock/Technical Analysis/Trend/Trending up'],diageo share surge report possible takeover lemann,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,surge Lemann,[0.24488172 0.31784782 0.43727043]
576.0,RBS chairman admits surprise at size of regulatory penalties,['s surprise at size of regulatory penalties'],RBS,-0.333,['Corporate/Regulatory'],rbs chairman admit surprise size regulatory penalty,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,RBS,[0.40644345 0.28555888 0.3079977 ]
584.0,RSA Insurance Hires Towergate's Egan as Chief Financial Officer,['Insurance Hires Towergate's Egan as Chief Financial Officer'],Towergate,0.002,['Corporate/Appointment/Executive Appointment'],rsa insurance hire towergate egan chief financial officer,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Towergate,[0.23149678 0.39831653 0.37018672]
590.0,Johnson Matthey raises prospect of investor payout,['raises prospect of investor payout'],Johnson Matthey,0.281,['Corporate/Dividend Policy'],johnson matthey raise prospect investor payout,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Johnson Matthey,[0.3658155  0.29950464 0.33467987]
593.0,InterContinental Hotels Denies Reports of Starwood Merger Talks,['Denies Reports of Starwood Merger Talks'],Starwood,-0.078,['Corporate/Rumors/Scoop'],intercontinental hotel deny report starwood merger talk,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Starwood,[0.33586597 0.3286685  0.3354655 ]
594.0,REFILE-Hikma and Barclays help Britain's FTSE to climb higher,['help Britain's FTSE to climb higher'],Hikma,0.452,['Market/Market/Market Trend'],refile hikma barclay help britain ftse climb high,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,climb Hikma,[0.32791355 0.35593852 0.3161479 ]
601.0,FDA Approves AstraZeneca's Iressa As Lung Cancer Treatment,['FDA Approves AstraZeneca's Iressa'],AstraZeneca,0.42,['Corporate/Regulatory'],fda approve astrazeneca iressa lung cancer treatment,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,AstraZeneca,[0.3176189  0.43148378 0.25089738]
602.0,AstraZeneca suffers setback after drug fails to treat eye cancer,['suffers setback'],AstraZeneca,-0.392,['Corporate/Risks'],astrazeneca suffer setback drug fail treat eye cancer,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,AstraZeneca,[0.39059827 0.36407754 0.24532421]
613.0,British American Tobacco first-half sales hurt by currency moves,['hurt by currency moves'],British American Tobacco,-0.346,['Market/Currency'],british american tobacco first half sale hurt currency move,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,British American Tobacco,[0.3164128  0.36464274 0.31894442]
614.0,Zurich Insurance Considering Offer for UK Rival RSA Insurance,['Insurance Considering Offer for UK Rival RSA Insurance'],Zurich Insurance,0.25,['Corporate/Rumors/Rumors'],zurich insurance consider offer uk rival rsa insurance,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Zurich Insurance,[0.40807605 0.26245406 0.3294699 ]
616.0,Japan's Nikkei lands Financial Times in $1.3 billion deal,['lands Financial Times in $1.3 billion deal'],Nikkei,0.262,['Corporate/Sales/Deal'],japan nikkei land financial time $ 1.3 billion deal,"[{'value': 'billion', 'type': 'cardinal', 'aspect': 'deal', 'dependency_type': 'nummod'}]","tensor([[-36933544.,  61553836., -20764644.]], grad_fn=<CatBackward0>)",[[-36933544.  61553836. -20764644.]],,Nikkei,[0.3307622  0.29739246 0.3718453 ]
622.0,"Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients",['sued by 'tax avoidance' clients'],Coutts,-0.248,['Corporate/Legal/Lawsuit'],ingenious hsbc ubs coutt sue tax avoidance client,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Coutts,[0.2955888  0.34867868 0.3557325 ]
,,['sued by 'tax avoidance' clients'],HSBC,-0.251,['Corporate/Legal/Lawsuit'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,HSBC,[0.30653194 0.46060783 0.23286027]
,,['sued by 'tax avoidance' clients'],UBS,-0.281,['Corporate/Legal/Lawsuit'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,UBS,[0.2739953  0.31966454 0.40634024]
624.0,UPDATE 1-AstraZeneca sells rare cancer drug to Sanofi for up to $300 mln,['sells rare cancer drug to Sanofi'],Sanofi,0.258,['Corporate/Sales/Deal'],update 1 astrazeneca sell rare cancer drug sanofi $ 300 mln,"[{'value': '1', 'type': 'cardinal', 'aspect': 'astrazeneca', 'dependency_type': 'nummod'}, {'value': '300', 'type': 'cardinal', 'aspect': 'sanofi', 'dependency_type': None}]","tensor([[  0.0584,  -0.0858,  -0.0869, -10.9727,  18.3232,  -6.2664]],
       grad_fn=<CatBackward0>)","[[  0.05843232  -0.08583678  -0.08687651 -10.972705    18.323215
   -6.2663875 ]]",,Sanofi,[0.3011694 0.3846575 0.314173 ]
627.0,Sainsbury sells unit to LloydsPharmacy,['sells unit to LloydsPharmacy'],Sainsbury,0.234,['Corporate/Sales/Deal'],sainsbury sell unit lloydspharmacy,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Sainsbury,[0.2911126  0.37479937 0.33408803]
632.0,BAE Systems's sales boosted by European Typhoon and currencies,['sales boosted by'],BAE Systems,0.39,['Corporate/Sales'],bae system sale boost european typhoon currency,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],increase,boost BAE Systems,[0.282056   0.34852493 0.3694191 ]
634.0,"Royal Mail 'breached competition law' over delivery service changes, Ofcom claims",['breached competition law'],Royal Mail,-0.315,['Corporate/Legal'],royal mail breach competition law delivery service change ofcom claim,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Royal Mail,[0.36384767 0.38103515 0.25511712]
645.0,"Britain's FTSE steadies, supported by Dixons Carphone","['FTSE steadies, supported by Dixons Carphone']",Dixons Carphone,0.329,['Stock/Price Action'],britain ftse steady support dixon carphone,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Dixons Carphone,[0.3587677  0.37653163 0.26470074]
651.0,Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano,['Signs China Manufacturing Deal With Desano'],Glaxo,0.284,['Corporate/Sales/Partnership'],glaxo viiv healthcare sign china manufacturing deal desano,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Glaxo,[0.2904626  0.3216681  0.38786927]
653.0,AstraZeneca sells Caprelsa rights to Sanofi unit,['sells Caprelsa rights to Sanofi unit'],Sanofi,0.233,['Corporate/Sales/Deal'],astrazeneca sell caprelsa right sanofi unit,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Sanofi,[0.31953096 0.369296   0.31117305]
659.0,UPDATE 5-Barclays Chairman McFarlane axes CEO to speed up strategic change,['to speed up strategic change'],Barclays,-0.229,['Corporate/Strategy'],update 5 barclay chairman mcfarlane axis ceo speed strategic change,"[{'value': '5', 'type': 'cardinal', 'aspect': 'chairman', 'dependency_type': 'nummod'}]","tensor([[-0.0987,  0.1588, -0.1659]], grad_fn=<CatBackward0>)",[[-0.09873284  0.1588273  -0.16590275]],,Barclays,[0.35280198 0.34756315 0.2996348 ]
665.0,Miners Meltdown as BHP to Rio Tinto Sink in Commodities Rout,['Rio Tinto Sink in Commodities Rout'],Rio Tinto,-0.665,['Stock/Price Action/Bearish/Bearish Behaviour'],miner meltdown bhp rio tinto sink commodity rout,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Rio Tinto,[0.34889844 0.33116636 0.31993514]
669.0,"FTSE led lower by M&S, GlaxoSmithKline",['FTSE led lowe'],M&S,-0.448,['Market/Market/Market Trend'],ftse lead lower m&s glaxosmithkline,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,M&S,[0.29356426 0.420852   0.28558376]
670.0,GKN to buy Fokker Technologies for 706 mln euros,['to buy Fokker Technologies'],GKN,0.276,['Corporate/M&A/M&A'],gkn buy fokker technology 706 mln euro,"[{'value': '706', 'type': 'cardinal', 'aspect': 'euro', 'dependency_type': 'nummod'}]","tensor([[-25.9677,  43.3141, -14.6968]], grad_fn=<CatBackward0>)",[[-25.96772   43.31407  -14.696835]],,GKN,[0.3867364  0.2907149  0.32254872]
671.0,Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,['Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group'],Ennismore Group,0.198,['Corporate/Sales/Deal'],diageo sell ryder cup venue gleneagle hotel ennismore group,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Ennismore Group,[0.32378787 0.32667863 0.34953356]
,,['Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group'],Gleneagles Hotel,0.237,['Corporate/Sales/Deal'],,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Gleneagles Hotel,[0.34141544 0.3056079  0.35297665]
674.0,"UPDATE: CIB, Legal & General Sell Egyptian Life Joint Venture To AXA",['Legal & General Sell Egyptian Life Joint Venture To AXA'],CIB,0.148,['Corporate/Sales/Deal'],update cib legal general sell egyptian life joint venture axa,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,CIB,[0.34223577 0.3294118  0.32835248]
679.0,Chime Communications Set To Be Acquired By WPP And Providence,[' Set To Be Acquired By WPP And Providence'],WPP,0.202,['Corporate/M&A/M&A'],chime communication set acquire wpp providence,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,WPP,[0.35716918 0.2827349  0.36009592]
680.0,"CompaniesNew Aggreko CEO to reshape business, strip costs","['to reshape business, strip costs']",Aggreko,0.177,['Corporate/Strategy'],companiesnew aggreko ceo reshape business strip cost,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Aggreko,[0.3108442  0.36035618 0.32879966]
682.0,AstraZeneca to Pay Inovio Up to $700 Million for Cancer Drug,['to Pay Inovio Up to $700 Million for Cancer Drug'],Inovio,0.33,['Corporate/Sales/Deal'],astrazeneca pay inovio $ 700 million cancer drug,"[{'value': '700', 'type': 'cardinal', 'aspect': 'million', 'dependency_type': None}, {'value': 'million', 'type': 'cardinal', 'aspect': 'drug', 'dependency_type': 'nummod'}]","tensor([[-2.5746e+01,  4.2945e+01, -1.4572e+01, -3.6933e+04,  6.1554e+04,
         -2.0765e+04]], grad_fn=<CatBackward0>)","[[-2.5746120e+01  4.2944752e+01 -1.4572247e+01 -3.6933438e+04
   6.1553691e+04 -2.0764678e+04]]",,Inovio,[0.34978175 0.3477951  0.30242315]
686.0,Rio Tinto CEO says iron ore market at equilibrium,['iron ore market at equilibrium'],Rio Tinto,0.0,['Market/Market'],rio tinto ceo say iron ore market equilibrium,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Rio Tinto,[0.37477133 0.28754848 0.33768013]
687.0,US sanctions put Gazprom-Shell alliance plans in jeopardy,['US sanctions put '],Shell,-0.314,['Economy/Trade/Sanctions'],sanction gazprom shell alliance plan jeopardy,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Shell,[0.26349205 0.3743801  0.36212784]
688.0,Standard Chartered Not Raising Capital Yet As Dividend Cut,['Not Raising Capital Yet As Dividend Cut'],Standard Chartered,-0.158,['Corporate/Dividend Policy'],standard charter raise capital dividend cut,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],decrease,cut Standard Chartered,[0.31587484 0.3914224  0.29270273]
692.0,"UPDATE 1-BHP Billiton's credit ratings fragile in FY16, agencies warn","['credit ratings fragile in FY16, agencies warn']",BHP,-0.338,['Corporate/Risks'],update 1 bhp billiton credit rating fragile fy16 agency warn,"[{'value': '1', 'type': 'cardinal', 'aspect': 'bhp', 'dependency_type': 'nummod'}]","tensor([[ 0.0584, -0.0858, -0.0869]], grad_fn=<CatBackward0>)",[[ 0.05843232 -0.08583678 -0.08687651]],,BHP,[0.27174205 0.4499716  0.27828637]
693.0,CRH adds CR Laurence to acquisitions tally for $1.3bn,['adds CR Laurence to acquisitions tally for $1.3bn'],CRH,0.231,['Corporate/M&A/M&A'],crh add cr laurence acquisition tally $ 1.3bn,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,CRH,[0.3145188  0.33910522 0.34637603]
701.0,Novartis buys remaining rights to GSK treatment in deal up to $1 billion,['buys remaining rights to GSK treatment in deal up to $1 billion'],Novartis,0.217,['Corporate/Sales/Deal'],novartis buy remain right gsk treatment deal $ 1 billion,"[{'value': '1', 'type': 'cardinal', 'aspect': 'billion', 'dependency_type': None}, {'value': 'billion', 'type': 'cardinal', 'aspect': 'deal', 'dependency_type': 'nummod'}]","tensor([[ 5.8432e-02, -8.5837e-02, -8.6877e-02, -3.6934e+07,  6.1554e+07,
         -2.0765e+07]], grad_fn=<CatBackward0>)","[[ 5.8432318e-02 -8.5836776e-02 -8.6876512e-02 -3.6933544e+07
   6.1553836e+07 -2.0764644e+07]]",,Novartis,[0.38252497 0.3072861  0.31018895]
702.0,"AstraZeneca bags another cancer drug deal, this time with Inovio",['bags another cancer drug deal'],Inovio,0.316,['Corporate/Sales/Deal'],astrazeneca bag cancer drug deal time inovio,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Inovio,[0.35728934 0.3675329  0.27517778]
704.0,REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm,['Investors to move 34 bln euros in assets from AXA fund arm'],AXA,-0.398,['Market/Conditions/Mutual Fund flows'],refile aviva investor 34 bln euro asset axa fund arm,"[{'value': '34', 'type': 'cardinal', 'aspect': 'arm', 'dependency_type': 'nummod'}]","tensor([[-1.1705,  1.9507, -0.7497]], grad_fn=<CatBackward0>)",[[-1.1704837   1.9506692  -0.74969804]],,AXA,[0.45345166 0.24478236 0.30176598]
715.0,"L&G still paying price for dividend cut during crisis, chief says",['still paying price for dividend cut'],L&G,-0.338,['Corporate/Dividend Policy'],l&g pay price dividend cut crisis chief say,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],decrease,cut L&G,[0.33764845 0.29506618 0.36728543]
726.0,Buffett's Company Reports 37 Percent Drop in 2Q Earnings,['Reports 37 Percent Drop in 2Q Earnings'],Berkshire Hathaway Inc.,-0.566,['Corporate/Company Communication'],buffett company report 37 percent drop 2q earning,"[{'value': '37', 'type': 'percentage', 'aspect': 'percent', 'dependency_type': 'nummod'}]","tensor([[0., 0., 0.]])",[[0. 0. 0.]],decrease,drop Berkshire Hathaway Inc.,[0.35160324 0.2740135  0.3743833 ]
730.0,Travis Perkins Hikes Dividend 20% As Profit And Revenue Rise,['Hikes Dividend 20% As Profit And Revenue Rise'],Travis Perkins,0.769,['Corporate/Dividend Policy'],travis perkin hike dividend 20 profit revenue rise,"[{'value': '20', 'type': 'cardinal', 'aspect': 'revenue', 'dependency_type': 'nummod'}]","tensor([[-0.6577,  1.0891, -0.4603]], grad_fn=<CatBackward0>)",[[-0.6577481   1.0890675  -0.46030775]],increase,rise Travis Perkins,[0.382848   0.3611298  0.25602219]
738.0,"Tesco, Asda sales fall as march of the discounters continues: Kantar",['sales fall as march of the discounters'],Tesco,-0.398,['Corporate/Sales'],tesco asda sale fall march discounter continue kantar,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],decrease,fall Tesco,[0.37877694 0.24372667 0.37749636]
741.0,Shire proposes $30 bln all-share tie-up with Baxalta,['proposes $30 bln all-share tie-up with'],Shire,0.22,['Corporate/M&A/Proposed Merger'],shire propose $ 30 bln share tie baxalta,"[{'value': '30', 'type': 'cardinal', 'aspect': 'baxalta', 'dependency_type': 'nummod'}]","tensor([[-1.0240,  1.7045, -0.6670]], grad_fn=<CatBackward0>)",[[-1.0239878  1.7044971 -0.6670151]],,Shire,[0.31948835 0.3525991  0.32791248]
742.0,Shire CEO steps up drive to get Baxalta board talking,['CEO steps up drive to get Baxalta board talking'],Shire,0.124,['Corporate/Strategy/Corporate Planning'],shire ceo step drive baxalta board talk,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Shire,[0.30919346 0.39321053 0.297596  ]
747.0,"Tesco, Asda sales fall as march of the discounters continues-Kantar",['Asda sales fall as march of the discounters continues'],Asda,-0.356,['Corporate/Sales/Demand Shortfall'],tesco asda sale fall march discounter continue kantar,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],decrease,fall Asda,[0.314113   0.31429    0.37159702]
758.0,Verizon and AT&T accused of hurting rivals,['accused of hurting rivals'],Verizon,-0.446,['Corporate/Regulatory'],verizon at&t accuse hurt rival,[],"tensor([[0., 0., 0.]])",[[0. 0. 0.]],,Verizon,[0.28877655 0.33029282 0.38093066]
759.0,"FTSE 100 falls as China devaluation hits Burberry, mining stocks",['FTSE 100 falls as'],Burberry,-0.479,['Market/Volatility'],ftse 100 fall china devaluation hit burberry mining stock,"[{'value': '100', 'type': 'cardinal', 'aspect': 'fall', 'dependency_type': 'nummod'}]","tensor([[-3.5877,  6.0125, -2.1140]], grad_fn=<CatBackward0>)",[[-3.587666   6.012506  -2.1139667]],decrease,fall Burberry,[0.3256395  0.2948374  0.37952313]
764.0,"Nine banks including Barclays, Citi, agree to pay $2 billion to settle forex ...",['agree to pay $2 billion to settle forex .'],Citi,-0.647,['Corporate/Legal/Settlement'],nine bank include barclay citi agree pay $ 2 billion settle forex,"[{'value': 'nine', 'type': 'cardinal', 'aspect': 'bank', 'dependency_type': 'nummod'}, {'value': '2', 'type': 'cardinal', 'aspect': 'billion', 'dependency_type': None}, {'value': 'billion', 'type': 'cardinal', 'aspect': 'forex', 'dependency_type': 'nummod'}]","tensor([[-2.4913e-01,  4.0786e-01, -2.4226e-01,  1.4063e-02, -2.7950e-02,
         -1.0863e-01, -3.6934e+07,  6.1554e+07, -2.0765e+07]],
       grad_fn=<CatBackward0>)","[[-2.4912760e-01  4.0786433e-01 -2.4226393e-01  1.4063217e-02
  -2.7950443e-02 -1.0863185e-01 -3.6933544e+07  6.1553836e+07
  -2.0764644e+07]]",,Citi,[0.33821842 0.38576412 0.2760175 ]
